"","percent_extracted","species_code"
"1",28.8,"COJR"
"2",25.54285714,"IngA"
"3",26.78,"IngC"
"4",36.8625,"IngF"
"5",45.06,"IngG"
"6",32.12,"IngM"
"7",36.94,"IngMu"
"8",32.56,"IngO"
"9",36.75,"IngP"
"10",29.9,"IngPu"
"11",36.78,"IngQ"
"12",40.7,"IngR"
"13",37.58333333,"IngS"
"14",32.05,"IngSp"
"15",36.49375,"IngU"
"16",31.17142857,"IngV"
"17",38.88,"LA1"
"18",46.23333333,"LA10"
"19",49.44,"LA12"
"20",37.18571429,"LA13"
"21",52,"LA17"
"22",40.86,"LA18"
"23",35.31,"LA19"
"24",35.48333333,"LA2"
"25",31.08571429,"LA20a"
"26",24.35714286,"LA20b"
"27",30.34,"LA22"
"28",34.1125,"LA23"
"29",46.74,"LA25"
"30",26.05714286,"LA26"
"31",45.68,"LA28"
"32",30.31666667,"LA3"
"33",32.88333333,"LA31"
"34",33.32,"LA32"
"35",49.08571429,"LA33"
"36",37.65,"LA34"
"37",55.0375,"LA35"
"38",34.825,"LA36"
"39",29.68,"LA37"
"40",28.04,"LA4"
"41",42.96,"LA41"
"42",37.96666667,"LA42"
"43",30.31111111,"LA43"
"44",38.31666667,"LA44"
"45",38.15,"LA45"
"46",35.84285714,"LA46"
"47",43.56666667,"LA47"
"48",25.18,"LA48"
"49",29.16,"LA49"
"50",37.325,"LA52"
"51",33.12,"LA55"
"52",36.31666667,"LA59"
"53",35.27142857,"LA59,60"
"54",32.54,"LA6"
"55",39.58571429,"LA60"
"56",19.83333333,"LA61"
"57",23.9,"LA62"
"58",41.34,"LA7"
"59",47.45,"LA8"
"60",34.56666667,"LA9"
"61",45.35,"M14"
"62",30.08,"M15"
"63",35.72,"M16"
"64",34.4,"M18"
"65",21.5,"M24"
"66",40.68,"M25"
"67",43.575,"M26"
"68",56.9,"M27a"
"69",16.56,"M27b"
"70",37.96666667,"M28"
"71",33.75714286,"M29"
"72",41.14,"M31"
"73",28.27142857,"M32"
"74",43.96666667,"M36"
"75",30.4,"M39a"
"76",27.93333333,"M39b"
"77",39.62,"M4"
"78",34.6,"M40a"
"79",31.8,"M40b"
"80",NA,"M40c"
"81",36.975,"M40d"
"82",37,"M41"
"83",41.72,"M5"
"84",42.18333333,"M51"
"85",33.6,"M59"
"86",32.06,"M60"
"87",33.2,"M61"
"88",31.08,"M62"
"89",51.225,"M63"
"90",51.3,"M65"
"91",30.8,"M68"
"92",42.15,"M69"
"93",47.5,"M70"
"94",42.73333333,"M71"
"95",37.52,"M8"
"96",51.86,"M9"
"97",34,"N1"
"98",55.85,"N10"
"99",20.94,"N11"
"100",28.26,"N12"
"101",41.18571429,"N13"
"102",38.12,"N14"
"103",28.6,"N15"
"104",28.81666667,"N16"
"105",39.28,"N18"
"106",29.24,"N19"
"107",52.24,"N20"
"108",43.01428571,"N21"
"109",38.74,"N22"
"110",43,"N23"
"111",40.9,"N24"
"112",44.41666667,"N25"
"113",37.51428571,"N26"
"114",25.5,"N27"
"115",31.12,"N28"
"116",43.58,"N29"
"117",43.98,"N3"
"118",32.98333333,"N31"
"119",32.11428571,"N32"
"120",45.6,"N34"
"121",43.6,"N35"
"122",39,"N36"
"123",32.98,"N37"
"124",46.31666667,"N38"
"125",33.95,"N39"
"126",34.37142857,"N4"
"127",44.88,"N40"
"128",57.7,"N41"
"129",31.6,"N42"
"130",49.4,"N45"
"131",35,"N46"
"132",36.1,"N48"
"133",32.06,"N5"
"134",44.6,"N50"
"135",43.1,"N53"
"136",49.22,"N54"
"137",47.96,"N6"
"138",42.62258065,"N65"
"139",35.22045455,"N66"
"140",48.05714286,"N67"
"141",31.72,"N7"
"142",35.36,"N8"
"143",51.48571429,"N9"
"144",32.9,"PITR"
"145",33.72222222,"T05"
"146",36.9,"T07"
"147",38.8,"T09"
"148",39.4,"T11"
"149",32.9,"T12"
"150",34.5,"T13"
"151",34.3,"T18"
"152",29.85,"T19"
"153",34.78181818,"T20"
"154",50.0125,"T21a"
"155",35.06,"T22"
"156",41.51764706,"T23"
"157",36.84,"T25"
"158",26.24,"T29"
"159",41.53125,"T33"
"160",55.74516129,"T35"
"161",27.8,"T42"
"162",37.15,"T49"
"163",48.02222222,"T50"
"164",40.58333333,"T51"
"165",39.88,"T55"
"166",46.244,"T56"
"167",42.13333333,"T57"
"168",34.38,"T58"
"169",34.22222222,"T59"
"170",31.14444444,"T60"
"171",33.2,"T62"
"172",44.71666667,"T63"
"173",43.1,"T64"
"174",39.98571429,"T65"
"175",28.86363636,"T67a"
"176",32.14444444,"T68"
"177",45.18333333,"T69"
"178",42.47142857,"T70"
"179",33.3,"T71"
"180",31.20666667,"T72"
"181",34.67272727,"T73"
"182",38.18333333,"T74"
"183",35.42,"T75"
"184",27.03333333,"T76"
"185",35.7125,"T78"
"186",30.86,"T82"
"187",35,"T83"
"188",31.56,"T84"
"189",34.03333333,"T85"
"190",36.96666667,"T86"
"191",36,"T88"
"192",34.4,"Zygl"
