cluster index	AllFiles	sum(precursor intensity)	RTMean	RTStdErr	parent mass	ScanNumber	ProteosafeFilePath	Original_Path	internalFilename
1	all_msms_spectra.mgf	0	0	0	457.077	1	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
2	all_msms_spectra.mgf	0	0	0	181.069	10	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
3	all_msms_spectra.mgf	0	0	0	625.082	101	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
4	all_msms_spectra.mgf	0	0	0	295.227	104	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
5	all_msms_spectra.mgf	0	0	0	441.081	107	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
6	all_msms_spectra.mgf	0	0	0	1065.19	11	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
7	all_msms_spectra.mgf	0	0	0	410.102	110	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
8	all_msms_spectra.mgf	0	0	0	447.091	111	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
9	all_msms_spectra.mgf	0	0	0	593.128	115	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
10	all_msms_spectra.mgf	0	0	0	137.01	117	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
11	all_msms_spectra.mgf	0	0	0	913.142	119	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
12	all_msms_spectra.mgf	0	0	0	327.215	121	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
13	all_msms_spectra.mgf	0	0	0	207.078	123	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
14	all_msms_spectra.mgf	0	0	0	609.144	128	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
15	all_msms_spectra.mgf	0	0	0	836.148	13	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
16	all_msms_spectra.mgf	0	0	0	300.998	138	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
17	all_msms_spectra.mgf	0	0	0	493.119	139	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
18	all_msms_spectra.mgf	0	0	0	609.123	14	spec/spec-00000.mgf	f.gordonyounkin/all_inga/all_msms_spectra.mgf	spec-00000.mgf
