cluster index	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)	G1	G2	G3	G4	G5	G6	AllFiles	AllGroups	DefaultGroups	RTMean	RTStdErr	ProteoSAFeClusterLink	UniqueFileSourcesCount	EvenOdd
1	1	457.077	1	457.077	0	1	0	0	0	0	0	all_msms_spectra.mgf:1###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=1	1	1
2	1	181.069	1	181.069	0	1	0	0	0	0	0	all_msms_spectra.mgf:10###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=2	1	1
3	1	625.082	1	625.082	0	1	0	0	0	0	0	all_msms_spectra.mgf:101###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=3	1	1
4	1	295.227	1	295.227	0	1	0	0	0	0	0	all_msms_spectra.mgf:104###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=4	1	0
5	1	441.081	1	441.081	0	1	0	0	0	0	0	all_msms_spectra.mgf:107###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=5	1	1
6	1	1065.19	1	1065.19	0	1	0	0	0	0	0	all_msms_spectra.mgf:11###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=6	1	1
7	1	410.102	1	410.102	0	1	0	0	0	0	0	all_msms_spectra.mgf:110###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=7	1	0
8	1	447.091	1	447.091	0	1	0	0	0	0	0	all_msms_spectra.mgf:111###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=8	1	1
9	1	593.128	1	593.128	0	1	0	0	0	0	0	all_msms_spectra.mgf:115###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=9	1	1
10	1	137.01	1	137.01	0	1	0	0	0	0	0	all_msms_spectra.mgf:117###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=10	1	1
11	1	913.142	1	913.142	0	1	0	0	0	0	0	all_msms_spectra.mgf:119###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=11	1	1
12	1	327.215	1	327.215	0	1	0	0	0	0	0	all_msms_spectra.mgf:121###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=12	1	0
13	1	207.078	1	207.078	0	1	0	0	0	0	0	all_msms_spectra.mgf:123###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=13	1	1
14	1	609.144	1	609.144	0	1	0	0	0	0	0	all_msms_spectra.mgf:128###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=14	1	1
15	1	836.148	1	836.148	0	1	0	0	0	0	0	all_msms_spectra.mgf:13###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=15	1	0
16	1	300.998	1	300.998	0	1	0	0	0	0	0	all_msms_spectra.mgf:138###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=16	1	1
17	1	493.119	1	493.119	0	1	0	0	0	0	0	all_msms_spectra.mgf:139###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=17	1	1
18	1	609.123	1	609.123	0	1	0	0	0	0	0	all_msms_spectra.mgf:14###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=18	1	1
19	1	391.945	1	391.945	0	1	0	0	0	0	0	all_msms_spectra.mgf:144###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=19	1	0
20	1	125.024	1	125.024	0	1	0	0	0	0	0	all_msms_spectra.mgf:145###	 	G1,	0.0	0.0	http://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=3d71b8ce3c5e410eacf8fb7b21295228&view=cluster_details&protein=20	1	1
