"sample","Species_code_sample","RT","MZ","PC_ID","TIC"
"DN1686","M4_1686_2",6.5023,123.0077,"M4_1",9186.06516686413
"DN1686","M4_1686_2",1.7129,123.007,"M4_120",2209.19752822707
"DN1686","M4_1686_2",1.7017,125.0232,"M4_121",13237.6386090158
"DN1686","M4_1686_2",6.5023,151.0024,"M4_1",15156.4191731123
"DN1686","M4_1686_2",1.2125,163.0391,"M4_8",12705.9548372498
"DN1686","M4_1686_2",6.4987,163.0386,"M4_1",3827.11368356722
"DN1686","M4_1686_2",1.7017,169.0133,"M4_122",17973.5898472901
"DN1686","M4_1686_2",8.8414,169.0129,"M4_15",14595.8744948507
"DN1686","M4_1686_2",6.8972,169.013,"M4_56",11665.7475957759
"DN1686","M4_1686_2",9.8609,169.013,"M4_57",15067.7312117956
"DN1686","M4_1686_2",1.5176,169.0117,"M4_82",5029.59435648455
"DN1686","M4_1686_2",6.614,169.0132,"M4_126",6752.09418969725
"DN1686","M4_1686_2",6.5127,180.0654,"M4_1",82696.4943822913
"DN1686","M4_1686_2",1.2124,180.0657,"M4_8",63281.7860073242
"DN1686","M4_1686_2",9.0166,180.0653,"M4_3",9794.94963901798
"DN1686","M4_1686_2",1.02,180.0655,"M4_51",5678.66323022461
"DN1686","M4_1686_2",6.5109,181.0687,"M4_1",7843.84045856819
"DN1686","M4_1686_2",1.2467,181.0686,"M4_79",5956.31092259939
"DN1686","M4_1686_2",5.4872,196.0603,"M4_71",3328.41318759651
"DN1686","M4_1686_2",1.2516,202.0477,"M4_79",2653.33229280744
"DN1686","M4_1686_2",5.0083,203.0816,"M4_87",42.1085954011615
"DN1686","M4_1686_2",5.1406,203.0813,"M4_125",5002.01628884888
"DN1686","M4_1686_2",10.7333,203.0807,"M4_6",2308.17709523639
"DN1686","M4_1686_2",6.5127,206.0447,"M4_1",14945.0799300869
"DN1686","M4_1686_2",2.8362,208.0271,"M4_94",3691.94497666302
"DN1686","M4_1686_2",2.9764,208.0275,"M4_83",535.675458114625
"DN1686","M4_1686_2",10.7333,245.0912,"M4_6",3430.84259735578
"DN1686","M4_1686_2",30.2837,265.1469,"M4_39",3046.27731453454
"DN1686","M4_1686_2",30.2915,266.1504,"M4_39",332.54244915474
"DN1686","M4_1686_2",6.5377,273.0023,"M4_95",6707.32678645771
"DN1686","M4_1686_2",1.2431,280.9963,"M4_79",3963.52988995362
"DN1686","M4_1686_2",6.504,286.0708,"M4_1",7849.41268626495
