"","M4_1686_2","M4_1689","M4_732","M4_733","M4_734","T69_1420","T69_1421","T69_1422","T69_1423","T69_1521"
"M4_1686_2",1,0.934042985671264,0.939331275246684,0.939902947095078,0.918399144726298,0.356970965262082,0.364361589141702,0.364185857275271,0.337711806333756,0.366685762055673
"M4_1689",0.934042985671264,1,0.903307882100266,0.907283251426454,0.912478797610361,0.356572089951085,0.365377888763978,0.365580556008781,0.341552314858283,0.358222330614579
"M4_732",0.939331275246684,0.903307882100266,1,0.952545459196733,0.910846182661267,0.34907976588927,0.366146931876876,0.361924306095222,0.327380669975146,0.349474940528819
"M4_733",0.939902947095078,0.907283251426454,0.952545459196733,1,0.915271027389787,0.345668600107092,0.354522995111138,0.354343880952476,0.3312303234539,0.348014417786751
"M4_734",0.918399144726298,0.912478797610361,0.910846182661267,0.915271027389787,1,0.339752006379916,0.354295439960907,0.348708668475957,0.325574748014498,0.338712411611089
"T69_1420",0.356970965262082,0.356572089951085,0.34907976588927,0.345668600107092,0.339752006379916,1,0.843701353845027,0.933874581902078,0.927251438081825,0.926459126335049
"T69_1421",0.364361589141702,0.365377888763978,0.366146931876876,0.354522995111138,0.354295439960907,0.843701353845027,1,0.878854895248701,0.826201471248032,0.831497255051503
"T69_1422",0.364185857275271,0.365580556008781,0.361924306095222,0.354343880952476,0.348708668475957,0.933874581902078,0.878854895248701,1,0.889553169586971,0.911232893847083
"T69_1423",0.337711806333756,0.341552314858283,0.327380669975146,0.3312303234539,0.325574748014498,0.927251438081825,0.826201471248032,0.889553169586971,1,0.88009850606595
"T69_1521",0.366685762055673,0.358222330614579,0.349474940528819,0.348014417786751,0.338712411611089,0.926459126335049,0.831497255051503,0.911232893847083,0.88009850606595,1
