compound_number,feature_number,TIC,mz,rt
1,164,3040.894108,125.024400,9.316300
1,175,3812.825757,166.999100,9.320500
1,177,124566.582782,169.014800,9.313300
1,180,9722.925553,170.018300,9.313300
1,190,2701.281067,269.045800,9.320500
1,197,11393.502109,287.055900,9.313300
1,213,15973.308900,305.066600,9.313300
1,218,1594.781247,306.069600,9.311900
1,220,2342.545226,317.029800,9.319100
1,224,4373.318710,331.045600,9.315600
1,244,5823.589507,453.045800,9.319100
1,247,24245.188516,455.061400,9.316900
1,248,6137.436889,456.064900,9.316300
1,249,162818.748747,457.077300,9.313300
1,251,40342.310504,458.080600,9.313300
1,252,8146.979147,459.083100,9.313300
1,258,2809.997253,471.056400,9.316900
1,259,4734.598349,473.071900,9.327100
1,260,4458.052792,477.043200,9.322600
1,262,34304.651210,479.059200,9.316300
1,263,7709.781660,480.062300,9.316300
1,271,1447.662415,503.081000,9.311900
1,278,5019.281228,520.072500,9.313300
1,287,6685.912916,541.029500,9.316300
1,288,7315.826183,555.993900,9.316900
1,289,3144.372319,556.998700,9.318400
1,400,1617.346223,911.129800,9.325400
1,405,27251.190673,915.158600,9.315600
1,406,12558.474775,916.161300,9.313300
1,407,3867.927246,917.165500,9.313300
1,408,3338.611057,937.139500,9.314800
1,409,1332.630394,938.143600,9.311900
1,410,1650.911388,968.072200,9.311900
1,411,1210.585399,969.072800,9.311900
2,1,7505.298407,123.007700,6.502300
2,4,14159.058938,151.002400,6.502300
2,6,2659.863666,163.038600,6.498700
2,11,72227.527794,180.065400,6.512700
2,14,6931.103848,181.068700,6.510900
2,20,13418.364322,206.044700,6.512700
2,27,9369.850972,286.070800,6.504000
2,29,4954.938535,288.086000,6.498700
2,32,6696.797020,298.981800,6.505800
2,34,6641.812531,299.989000,6.510300
2,43,2122.307844,316.991900,6.496300
2,48,4673.207648,321.024000,6.514200
2,51,23891.534701,330.059900,6.510900
2,52,3869.818998,331.064100,6.500400
2,55,364382.513402,332.076100,6.508200
2,59,61334.371848,333.079200,6.508200
2,63,9699.258797,334.081400,6.493200
2,68,21178.740115,354.057400,6.510900
2,69,2884.279395,355.060100,6.523200
2,73,5601.041937,385.994700,6.522500
2,79,2352.203419,426.082000,6.515100
2,84,4413.139062,454.076500,6.504900
2,108,4357.590306,498.066900,6.504900
2,133,27776.070948,665.162000,6.493200
2,134,9165.228291,666.165900,6.493200
2,136,3878.081919,679.140500,6.502300
2,137,4076.312708,687.143800,6.490600
2,139,10954.283653,718.074100,6.496800
2,140,6705.122703,719.079200,6.496800
3,176,1138.347364,166.998500,11.210700
3,178,28994.699827,169.014500,11.214200
3,181,1917.489851,170.018000,11.207200
3,192,5173.122713,271.061100,11.210700
3,201,25910.658963,289.071600,11.211600
3,205,3651.202163,290.074600,11.210700
3,210,1644.607936,301.033800,11.207200
3,211,1874.564110,303.050000,11.207100
3,225,1405.866776,331.044800,11.210700
3,231,4799.105915,439.065800,11.210700
3,233,1163.042572,440.070300,11.210700
3,234,105120.188497,441.081800,11.210600
3,240,26042.244188,442.085100,11.210600
3,241,4748.017018,443.086800,11.207100
3,250,1883.581548,457.075700,11.225100
3,253,1157.971372,461.048700,11.210700
3,254,18532.470184,463.063500,11.210600
3,255,3784.870327,464.067000,11.208900
3,272,2282.075915,504.076000,11.210700
3,281,2760.638906,525.033500,11.210700
3,284,3005.066120,539.998100,11.210700
3,286,952.361715,541.003100,11.210700
3,318,9017.586327,609.087750,11.332350
3,321,1866.956539,610.091100,11.328750
3,387,738.553919,881.148300,11.207200
3,388,6486.726181,883.166500,11.207100
3,389,3014.662298,884.170500,11.208900
3,390,870.644895,885.170800,11.207200
3,398,811.057803,905.147000,11.207200
4,13,7731.841661,180.065300,9.016600
4,33,2877.928671,298.982100,9.031400
4,36,8949.718740,300.997200,9.020100
4,42,2434.342510,316.992800,9.016600
4,57,464848.117423,332.076100,9.002300
4,60,80135.380764,333.079200,9.002300
4,62,11909.705164,334.081200,9.001000
4,67,14919.871308,354.057500,9.013200
4,80,11150.506313,438.081000,9.008800
4,96,31368.878329,482.071000,9.020200
4,97,8431.201141,483.074800,9.019500
4,99,174277.903620,484.087100,9.005900
4,102,42649.474168,485.090700,9.002300
4,104,8093.502151,486.092600,9.004600
4,109,8569.838743,500.081800,9.018800
4,110,5457.759941,506.068800,9.013000
4,111,2473.493006,518.092700,9.015300
4,112,3164.097205,536.998400,9.007000
4,113,2445.178557,538.006000,9.007000
4,154,12435.164439,969.182000,9.002300
4,155,5972.124273,970.185000,9.004600
4,156,1801.914313,971.188200,8.998700
4,157,2510.715840,1022.093300,9.001600
4,158,1878.341619,1023.098400,9.003400
5,19,974.455876,203.080700,10.733300
5,22,2041.820457,245.091200,10.733300
5,56,29535.513366,332.075300,10.729500
5,61,4214.957008,333.079000,10.733000
5,98,126854.819769,484.087000,10.718900
5,101,30928.525630,485.090200,10.726100
5,103,5453.278317,486.091900,10.724500
5,125,2978.094612,635.087500,10.736900
5,126,56366.143629,636.097700,10.722300
5,129,17929.084452,637.101400,10.721000
5,130,4058.156862,638.103800,10.723600
5,131,3983.029263,652.093500,10.740200
5,132,5088.210230,658.080100,10.722500
5,135,4159.427191,670.103700,10.742100
5,138,5317.026086,689.010700,10.720600
6,303,2664.800755,593.093600,8.256700
6,350,1869.940585,757.102900,8.266600
6,351,13243.230375,759.117700,8.263000
6,352,4835.027397,760.122000,8.259400
6,353,80184.425151,761.134600,8.256700
6,357,32059.743153,762.137700,8.255900
6,360,8451.909879,763.140300,8.258100
6,361,1400.867588,764.142700,8.255900
6,362,5637.108791,783.115500,8.256300
6,363,2110.222226,784.115100,8.263000
7,242,2609.783089,449.108300,10.429200
7,274,3452.684747,513.102300,10.418600
7,276,1599.957357,513.604900,10.420400
7,294,1347.109249,585.123400,10.415100
7,336,9982.959718,729.144600,10.422700
7,338,3586.533151,730.147400,10.424000
7,415,16040.476870,1027.209800,10.419500
7,416,8581.265855,1028.212800,10.419500
7,417,2038.504510,1029.214200,10.415100
8,8,17758.401167,169.012900,8.841400
8,28,1336.243196,287.055100,8.847300
8,39,2513.703625,305.065500,8.822600
8,83,1779.038475,453.045600,8.849700
8,85,2660.076064,455.061200,8.851500
8,87,15569.287638,457.076100,8.841400
8,88,3163.027662,458.079900,8.841400
8,95,4149.703702,479.058900,8.824400
9,41,6161.472361,316.019800,10.993900
9,89,4691.861801,461.069900,11.001100
9,90,176890.513012,463.087150,10.990050
9,92,38881.387639,464.089400,10.993900
9,94,7879.513593,465.091800,10.993900
9,107,12388.204749,497.091500,11.001100
9,118,19260.108775,609.087450,10.917300
9,121,5264.475369,610.090750,10.916550
10,15,3555.400743,181.068600,1.246700
10,17,1801.151761,202.047700,1.251600
10,26,1976.934628,280.996300,1.243100
10,72,1343.437347,384.123000,1.249100
10,75,1170.783386,405.102800,1.255100
10,78,1078.101161,416.064700,1.243100
10,114,1152.335742,580.159600,1.250300
11,179,7290.586056,169.014600,7.400900
11,282,4421.836564,532.093400,7.405100
11,283,2525.387654,532.595400,7.405100
11,424,2629.554475,1063.175800,7.408700
11,426,17836.120634,1065.190500,7.404400
11,427,9848.401790,1066.194900,7.405100
11,428,3058.616201,1067.197400,7.401500
12,256,979.312288,465.103500,9.690200
12,279,2187.708597,521.100600,9.686700
12,280,846.879685,521.602500,9.686700
12,419,7648.859038,1043.203800,9.696500
12,420,3721.056487,1044.208600,9.693700
12,421,1209.397526,1045.209700,9.686700
13,374,1152.074470,835.641600,7.759600
13,375,6996.655142,836.148400,7.752900
13,376,5995.701082,836.650500,7.752900
13,377,2879.316643,837.150800,7.752400
13,378,901.086811,837.648700,7.756000
14,165,6912.053951,137.009600,2.554800
14,235,3645.248060,441.081900,2.648800
14,317,2586.942474,607.108300,2.673000
14,319,14255.590290,609.123500,2.651100
14,322,3984.636387,610.127800,2.654700
15,193,697.430328,271.060900,16.523100
15,203,4415.397058,289.072000,16.526600
15,206,689.601868,290.075500,16.526600
15,230,1810.626044,435.106600,16.523100
16,345,2512.374004,743.124300,9.269000
16,347,26201.835827,745.140400,9.270400
16,348,10476.037484,746.143700,9.272800
16,349,2297.831144,747.145800,9.273000
17,183,2741.448393,193.014600,12.929200
17,221,9662.493661,319.045200,12.927400
17,257,3680.341933,471.056000,12.926900
17,269,1744.964847,493.036700,12.924700
18,239,1525.967521,441.081900,12.589400
18,302,6206.052849,593.092700,12.585800
18,307,1912.424701,594.095200,12.585800
18,324,548.685203,615.074600,12.589400
19,311,1507.335264,600.101600,7.367100
19,330,7037.831355,684.122300,7.364000
19,331,4891.306630,684.623300,7.362200
19,332,1689.379592,685.123900,7.367100
20,238,1427.742814,441.081800,13.699100
20,301,8677.199891,593.091800,13.802800
20,306,2745.872803,594.094400,13.802800
20,323,693.074573,615.074400,13.699100
21,228,2975.825646,387.167200,9.033900
21,371,2618.537507,814.163500,9.028900
21,372,1910.147645,814.666800,9.026700
22,189,4161.248290,249.088500,6.095400
22,208,1239.390279,292.094200,6.092500
22,227,1343.679595,364.076200,6.089300
23,237,2687.557088,441.081900,12.960400
23,300,4468.971914,593.092200,12.953200
23,305,1449.513852,594.096100,12.953200
24,44,2688.090750,317.026500,10.957000
24,86,3871.046550,457.075350,10.900350
24,153,2161.852386,927.180300,10.963600
25,188,4608.680985,249.089200,7.275200
25,232,743.417062,439.087900,7.277200
25,266,2311.298746,483.077400,7.270100
26,212,2770.990644,303.050800,3.777000
26,214,21559.041799,305.066700,3.768400
26,217,2746.952608,306.070500,3.768400
27,198,2434.409770,287.055800,14.517100
27,215,3013.949400,305.065500,14.519100
27,243,1690.805193,451.101300,14.517100
28,119,8684.026961,609.088500,12.068400
28,122,2539.892964,610.091300,12.073500
28,144,2255.896054,789.115900,12.057600
29,187,2590.134643,245.082000,7.020700
29,202,15678.298035,289.071500,7.024500
29,207,2117.671608,290.074900,7.020600
30,346,2028.058865,745.139300,10.450700
30,382,3249.850327,875.199300,10.447300
30,385,1559.317111,876.205100,10.447300
31,149,13294.861714,913.145400,8.381000
31,151,5883.675678,914.148700,8.381000
31,152,1352.428704,915.152000,8.383900
32,86,3758.725039,457.075350,10.900350
32,118,14382.012284,609.087450,10.917300
32,121,4689.819499,610.090750,10.916550
33,364,5119.986663,806.167200,9.610000
33,367,4350.547547,806.669300,9.611100
33,370,2072.369793,807.168900,9.611400
34,296,2142.554355,587.140300,9.399600
34,401,9100.322521,913.142900,9.388400
34,403,3013.838521,914.147000,9.397700
35,50,1228.604296,329.049100,1.524800
35,53,53549.640492,331.065800,1.544900
35,58,3833.848145,332.068400,1.527600
36,5,7324.273740,163.039100,1.212500
36,12,50470.602405,180.065600,1.116200
36,71,8593.885592,383.120500,1.227800
37,159,2143.531584,1140.174100,9.157300
37,162,2536.926457,1140.674200,9.153300
37,163,1411.621381,1141.176600,9.149800
38,366,1936.174702,806.166800,10.334600
38,368,1560.096990,806.669000,10.336400
39,216,2328.618899,305.065900,15.188800
39,265,1103.626419,481.112500,15.188800
40,100,918.499728,484.087300,10.254700
40,128,6211.447164,636.099300,10.212100
41,379,2040.921007,875.176800,15.548700
41,383,965.673859,876.179600,15.545100
42,392,2175.131219,891.195000,10.508000
42,395,967.515899,892.197100,10.500900
43,355,7498.718852,761.134300,7.912000
43,359,2915.381024,762.137400,7.912000
44,381,4474.692298,875.201300,8.212500
44,384,1737.033708,876.203500,8.210700
45,315,5552.685139,603.134000,8.496900
45,316,1470.534919,604.138200,8.498400
46,380,4672.549207,875.199100,11.303600
46,386,1966.326625,876.203500,11.300100
47,354,8875.962174,761.135400,9.232600
47,358,3472.135990,762.138500,9.234400
48,127,9513.227161,636.098800,12.044500
48,143,8363.007229,788.109600,12.041300
49,160,1084.435930,1140.171600,9.492900
49,161,1414.933090,1140.671400,9.500000
50,37,1664.027936,304.038400,13.285200
50,142,1434.093741,761.097600,13.278000
51,264,2342.812035,480.309500,30.296900
51,285,1758.773659,540.330700,30.296900
52,16,3978.305385,196.060300,5.487200
52,64,3314.616562,348.071300,5.487600
53,273,1517.057744,504.308500,29.245500
53,292,1226.721980,564.330400,29.242000
54,116,9981.449575,591.098000,8.712800
54,117,2460.245980,592.101500,8.712700
55,145,3942.202006,821.395700,21.983200
55,146,1367.282516,822.398300,21.985200
