feature_number,sample,rt,mz,PC_ID,TIC
1,DN1686,6.502300,123.007700,M4_1,9186.065167
1,DN1689,6.502300,123.007700,M4_1,6361.888424
1,DN732,6.502300,123.007700,M4_1,9531.904211
1,DN733,6.502300,123.007700,M4_1,7554.556983
1,DN734,6.502300,123.007700,M4_1,4892.077253
2,DN1686,1.712900,123.007000,M4_120,2209.197528
2,DN1689,1.712900,123.007000,M4_120,1250.974558
2,DN732,1.712900,123.007000,M4_120,2205.090448
2,DN733,1.712900,123.007000,M4_120,3495.547822
2,DN734,1.712900,123.007000,M4_120,1463.822317
3,DN1686,1.701700,125.023200,M4_121,13237.638609
3,DN1689,1.701700,125.023200,M4_121,11215.290623
3,DN732,1.701700,125.023200,M4_121,11081.549556
3,DN733,1.701700,125.023200,M4_121,16902.543728
3,DN734,1.701700,125.023200,M4_121,11299.593514
3,DN1420,1.701300,125.024300,T69_48,6998.953027
3,DN1421,1.701300,125.024300,T69_48,12079.275179
3,DN1422,1.701300,125.024300,T69_48,9755.272993
3,DN1423,1.701300,125.024300,T69_48,11025.779242
3,DN1521,1.701300,125.024300,T69_48,7049.371979
4,DN1686,6.502300,151.002400,M4_1,15156.419173
4,DN1689,6.502300,151.002400,M4_1,13263.437152
4,DN732,6.502300,151.002400,M4_1,17117.488781
4,DN733,6.502300,151.002400,M4_1,15790.420371
4,DN734,6.502300,151.002400,M4_1,9467.529212
5,DN1686,1.212500,163.039100,M4_8,12705.954837
5,DN1689,1.212500,163.039100,M4_8,8272.890550
5,DN732,1.212500,163.039100,M4_8,6104.458235
5,DN733,1.212500,163.039100,M4_8,5484.351259
5,DN734,1.212500,163.039100,M4_8,4053.713820
6,DN1686,6.498700,163.038600,M4_1,3827.113684
6,DN1689,6.498700,163.038600,M4_1,2027.323683
6,DN732,6.498700,163.038600,M4_1,2907.857819
6,DN733,6.498700,163.038600,M4_1,3015.354884
6,DN734,6.498700,163.038600,M4_1,1521.668259
7,DN1686,1.701700,169.013300,M4_122,17973.589847
7,DN1686,1.701700,169.013300,M4_122,17973.589847
7,DN1689,1.701700,169.013300,M4_122,15854.765498
7,DN1689,1.701700,169.013300,M4_122,15854.765498
7,DN732,1.701700,169.013300,M4_122,19009.900108
7,DN732,1.701700,169.013300,M4_122,19009.900108
7,DN733,1.701700,169.013300,M4_122,25804.228792
7,DN733,1.701700,169.013300,M4_122,25804.228792
7,DN734,1.701700,169.013300,M4_122,17049.287492
7,DN734,1.701700,169.013300,M4_122,17049.287492
7,DN1420,1.697700,169.014200,T69_286,13333.716572
7,DN1421,1.697700,169.014200,T69_286,22038.736464
7,DN1422,1.697700,169.014200,T69_286,18863.186544
7,DN1423,1.697700,169.014200,T69_286,20381.437412
7,DN1521,1.697700,169.014200,T69_286,7756.126916
8,DN1686,8.841400,169.012900,M4_15,14595.874495
8,DN1689,8.841400,169.012900,M4_15,14371.778149
8,DN732,8.841400,169.012900,M4_15,25527.680310
8,DN733,8.841400,169.012900,M4_15,27793.477575
8,DN734,8.841400,169.012900,M4_15,6503.195308
9,DN1686,6.897200,169.013000,M4_56,11665.747596
9,DN1686,6.897200,169.013000,M4_56,11665.747596
9,DN1689,6.897200,169.013000,M4_56,4523.291471
9,DN1689,6.897200,169.013000,M4_56,4523.291471
9,DN732,6.897200,169.013000,M4_56,18738.594716
9,DN732,6.897200,169.013000,M4_56,18738.594716
9,DN733,6.897200,169.013000,M4_56,25038.229744
9,DN733,6.897200,169.013000,M4_56,25038.229744
9,DN734,6.897200,169.013000,M4_56,16482.601349
9,DN734,6.897200,169.013000,M4_56,16482.601349
10,DN1686,9.860900,169.013000,M4_57,15067.731212
10,DN1689,9.860900,169.013000,M4_57,6628.328095
10,DN732,9.860900,169.013000,M4_57,13982.106096
10,DN733,9.860900,169.013000,M4_57,9961.981837
