species_sample,compound_number,TIC
M4_732,1,406345.740143
M4_732,2,3669852.554810
M4_732,3,6930.413147
M4_732,4,4243574.562683
M4_732,5,1303879.198700
M4_732,8,354332.166199
M4_732,9,1230912.731995
M4_732,18,1177.466003
M4_732,20,2967.854919
M4_732,23,1177.466003
M4_732,24,39004.683014
M4_732,28,69717.748413
M4_732,31,130894.642853
M4_732,34,5063.814453
M4_732,35,67767.919754
M4_732,37,21055.905304
M4_732,40,270912.355591
M4_732,48,56288.591187
M4_732,49,15051.116058
M4_732,51,12668.584167
M4_732,52,24157.992554
M4_732,53,9309.987976
M4_732,54,61228.352386
M4_732,55,39889.616364
M4_732,56,70363.940430
M4_732,57,86795.085449
M4_732,58,106374.181030
M4_732,66,153698.170288
M4_732,71,1493.973114
M4_732,76,25574.835510
M4_732,77,26093.070679
M4_732,78,2791.502502
M4_732,79,24720.829834
M4_732,80,5080.400818
M4_732,81,2823.197815
M4_732,82,89890.381348
M4_732,95,16999.331848
M4_732,96,31158.326202
M4_732,97,14545.282532
M4_732,98,16213.270508
M4_732,101,20216.678497
M4_732,102,7836.926758
M4_732,103,5524.887085
M4_732,104,4379.377441
M4_732,110,23048.073242
M4_732,111,19854.870667
M4_732,118,15875.900513
M4_732,119,10759.507202
M4_732,120,4735.421082
M4_732,128,22139.142761
M4_732,132,6471.916626
M4_732,138,17461.102417
M4_732,139,417.000000
M4_732,140,111957.528320
M4_732,142,9421.149292
M4_732,143,14909.985840
M4_732,144,11509.041870
M4_732,145,53218.508118
M4_732,146,13194.311279
M4_732,148,8893.496277
M4_732,158,3803.764862
M4_732,160,3833.484009
M4_732,163,15292.475281
M4_732,164,28567.608398
M4_732,165,22281.465210
M4_732,166,2318.940186
M4_733,1,420035.801575
M4_733,2,3262114.591187
M4_733,3,4926.726654
M4_733,4,4251827.694977
M4_733,5,1081908.359146
M4_733,8,366555.956085
M4_733,9,1149830.791718
M4_733,10,31367.519287
M4_733,24,41230.267548
M4_733,28,59755.377747
M4_733,31,141210.104553
M4_733,34,5429.305725
M4_733,35,39887.976990
M4_733,37,31414.830200
M4_733,40,211603.663208
M4_733,48,36790.424072
M4_733,49,23156.875122
M4_733,51,20089.853271
M4_733,52,40877.507690
M4_733,53,8153.836212
M4_733,54,88555.440308
M4_733,55,47534.409485
M4_733,56,82047.255859
M4_733,57,106673.989746
M4_733,58,122896.362061
M4_733,66,136813.808594
M4_733,71,3822.450684
M4_733,76,14266.644562
M4_733,77,20568.317566
M4_733,78,1498.301132
M4_733,79,25209.146240
M4_733,80,7501.198975
M4_733,82,122665.889893
M4_733,93,775.216339
M4_733,95,36679.398865
M4_733,96,27315.793823
M4_733,97,26956.865173
M4_733,101,4871.852539
M4_733,102,7000.738342
M4_733,103,6510.886658
M4_733,104,11233.752380
M4_733,110,16120.206848
M4_733,111,14911.999390
M4_733,116,3616.372559
M4_733,118,20399.220703
M4_733,119,11929.783356
M4_733,120,6879.748398
M4_733,121,14283.436401
M4_733,128,29177.801025
M4_733,132,6477.790039
M4_733,138,9928.642792
M4_733,139,310.000000
M4_733,140,98009.082031
M4_733,142,11496.167664
M4_733,143,24072.776367
M4_733,144,23524.236084
M4_733,145,79597.152100
M4_733,146,17058.516968
M4_733,148,14120.571350
M4_733,158,9835.651581
M4_733,160,3511.839996
M4_733,161,1584.354370
M4_733,163,10682.416992
M4_733,164,3567.570740
M4_733,165,6927.518890
M4_733,166,1520.325623
M4_734,1,90455.450027
M4_734,2,2422018.093842
M4_734,4,2549699.171753
M4_734,5,1240749.468964
M4_734,8,88206.102463
M4_734,9,818767.919800
M4_734,24,19426.088501
M4_734,28,52959.553040
M4_734,31,39535.315247
M4_734,32,126907.626617
M4_734,34,1538.458313
M4_734,35,22182.830933
M4_734,37,3673.742462
M4_734,40,255797.753479
M4_734,48,66397.942627
M4_734,49,3673.742462
M4_734,50,29657.483459
M4_734,51,7554.076416
M4_734,52,77107.393555
M4_734,54,30334.123779
M4_734,55,42380.199677
M4_734,56,57454.113525
M4_734,57,90525.072754
M4_734,58,126843.276764
M4_734,66,142596.970825
